Title,Company,Location,Date Posted,Link,Short Description,Sub Classification,Classification,Work Arrangement,Job Type,Cluster
Full Stack Developer,Calyx Eco Pty Ltd,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90135628?type=standard&ref=search-standalone&origin=jobCard#sol=c41f11ecf125aa254cf982b68919292fab651131,"Build full-stack sustainability tech with real-world impact, shipping cloud-native features customers rely on",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90553678?type=standard&ref=search-standalone&origin=jobCard#sol=b3ad76831d4cedcec6200bc432e3c91fcffc7ae1,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Data Engineer,Randstad Digital,Sydney NSW,Listed twelve days ago,https://www.seek.com.au/job/90404245?type=standard&ref=search-standalone&origin=jobCard#sol=d9e84747fc8357eaeac441f1dfbd43f01f388464,"Senior Data Engineer reqd for a major bank, Big Data, Spark, SQL, Cloud, GCP exp reqd, excellent work culture, hybrid work, interviewing now",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Engineer - Automation & Platform Tooling,DeVision Recruitment,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90250420?type=standard&ref=search-standalone&origin=jobCard#sol=e425ba59b42fca42cbfa35fac0ba97cc19090ea6,Build the engine room for a global health-tech leader. Develop custom CI/CD tools & infra (Node.js/Python/DevOps) to empower global dev teams.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
Agentic AI Engineer with AWS Cloud,HCL Australia Services Pty Ltd,Sydney NSW,Listed six days ago,https://www.seek.com.au/job/90518641?type=standard&ref=search-standalone&origin=jobCard#sol=3e7a31dd0333e915d9772341e1f9e2bcde683559,A job that provides perfect platform to grow yourself and your career.,Developers/Programmers,(Information & Communication Technology),,,2
Senior Full Stack Engineer,NSW Department of Customer Service,Parramatta,Listed four days ago,https://www.seek.com.au/job/90603017?type=standard&ref=search-standalone&origin=jobCard#sol=1218086a9ee5fd6806e4a188e887fc67e75899a5,"Senior Full Stack Engineer to build modern, scalable apps and shape a new data‑driven platform at NSW Fair Trading. High impact, high autonomy.",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Data Scientist - Experimentation,SEEK Limited,North Sydney,,https://www.seek.com.au/job/90425318?type=promoted&ref=search-standalone&origin=jobCard#sol=03e7ede708a8ad626895149ec05903d19855d970,Join SEEK as a Data Scientist focusing on experimentation to drive product innovation and improve user experiences.,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Senior Software Developer,iasset.com Pty Ltd,Sydney NSW,,https://www.seek.com.au/job/90381738?type=promoted&ref=search-standalone&origin=jobCard#sol=1ba1afe4fe36084d113f232610381e8cfa73e918,"Lead AI-powered software development for a fast-growing tech company. Birthday Leave, flexible work, and dynamic environment.",Developers/Programmers,(Information & Communication Technology),(Remote),This is a Full time job,1
Automation Graduate,The University of Sydney,Darlington,Listed three days ago,https://www.seek.com.au/job/90617888?type=standard&ref=search-standalone&origin=jobCard#sol=143d46b2a61bb4b4349098f63c3532e628469e35,Brace yourself for the opportunity of a lifetime! Unleash Your Potential as an Automation Graduate!,Other,(Information & Communication Technology),,This is a Full time job,1
Snowflake Data Engineer,Cognizant Technology Solutions Australia Pty Ltd,Sydney NSW,Listed seven days ago,https://www.seek.com.au/job/90514250?type=standard&ref=search-standalone&origin=jobCard#sol=03d78aaa51da29cf574f455ec93f3224f14ed34c,"We are looking for an experienced data engineer who combines strong technical depth in AWS, Snowflake, SQL, and ETL pipelines",Database Development & Administration,(Information & Communication Technology),(Hybrid),This is a Full time job,2
"Software Engineer, Android Engineering Productivity, Early Career",Google,Sydney NSW,Listed more than thirty days ago,https://www.seek.com.au/job/89156786?type=standard&ref=search-standalone&origin=jobCard#sol=d5f48182600268bf16fd951ae79bf12a341caf8b,Join Google's Android team and shape the future of large screen and ChromeOS development. Apply now!,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,2
Associate AI Pattern Engineer,FinXL IT Professional Services,Sydney NSW,Listed twelve days ago,https://www.seek.com.au/job/90423782?type=standard&ref=search-standalone&origin=jobCard#sol=cd89d4f30d12e34d3274305f284cccce0cc82871,FinXL is seeking an Associate AI Pattern Engineer for a leading organisation. Join our Award-Winning Associate Program & accelerate your career.,Other,(Information & Communication Technology),,,2
"Developer Programmer (Sydney, Adelaide, Canberra, Brisbane, Perth & Melbourne)",Ariston Partners Australia Pty Ltd,Sydney NSW,Listed eighteen days ago,https://www.seek.com.au/job/90305632?type=standard&ref=search-standalone&origin=jobCard#sol=655944c4fa8af38a16a86535e5fee6de310db033,"Our client, a leading Company is looking for a Developer Programmer to work with cutting-edge technologies leading to a large Transformation Programme",Developers/Programmers,(Information & Communication Technology),,This is a Full time job,4
Mid-level Data Scientist,Winning Group,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90587174?type=standard&ref=search-standalone&origin=jobCard#sol=ae415eb77ca18926a24d070bb6ef09d9d3bdc390,"Drive real-world impact with advanced data science—build ML models that power pricing, logistics & customer experience across ANZ.",Developers/Programmers,(Information & Communication Technology),,This is a Full time job,2
Software Engineer (Operational Systems),Deep C Holdings PTY LTD,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90129193?type=standard&ref=search-standalone&origin=jobCard#sol=22e30728ee77db206a65ae65d28722ab25ea6854,"Build operational systems for Chinese clients running across global markets — real backend engineering, infrastructure, and cross-border integration.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
Principal Data Engineer,Healius Ltd,Sydney NSW,Listed eight days ago,https://www.seek.com.au/job/90487610?type=standard&ref=search-standalone&origin=jobCard#sol=c8a9e1d92fa96cab7c708600c37a55f75d23179e,"Work with one of Australia's leading ASX-listed healthcare companies that is synonymous with quality, affordable and accessible healthcare for all.",Engineering - Software,(Information & Communication Technology),,This is a Full time job,1
Senior Machine Learning Engineer,Intelligen Pty Ltd,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90433956?type=standard&ref=search-standalone&origin=jobCard#sol=e3f709f359c41f4eccc648674a9bcde07624df72,"Senior MLE to build ML platform, deploy models, develop pipelines/APIs, and drive MLOps, CI/CD, and reliable production systems.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
ML Engineer,Talenza,Sydney NSW,Listed twenty seven days ago,https://www.seek.com.au/job/90107126?type=standard&ref=search-standalone&origin=jobCard#sol=3d80e6eb38b9c27f86a276e8c0247f022a586845,"ML Engineer - Sydney - FS - Azure - SQL - Python - $150,000 + Super",Other,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Technical Lead & Senior Software Engineers (Golang/React),TheDriveGroup,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90449600?type=standard&ref=search-standalone&origin=jobCard#sol=e0d248bba2f280903f9ebc1554b9c1833102e98e,"Join a high-growth Sydney scale-up as a Tech Lead or Senior Engineer, shaping a new team with real ownership and equity.",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Software Developer,Silver Trak Digital,Marrickville,Listed five days ago,https://www.seek.com.au/job/90574448?type=standard&ref=search-standalone&origin=jobCard#sol=354cbb12eb6e09a90e1e82f10907416738ec0ff5,Work with leading edge technologies of the media and entertainment arena with one of the best known post production businesses in Australia.,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,4
Senior Machine Learning Engineer,Hydrogen Group Pty Ltd,Sydney NSW,Listed thirteen days ago,https://www.seek.com.au/job/90390713?type=standard&ref=search-standalone&origin=jobCard#sol=c54ffc59192c41b8cef4188f76b296b1498170ba,Excellent opportunity for a Senior Machine Learning Engineer to join on an initial 6 month contract basis in Sydney,Engineering - Software,(Information & Communication Technology),(Hybrid),,2
Senior Data Engineer - Databricks,Cognizant Technology Solutions Australia Pty Ltd,Sydney NSW,Listed six days ago,https://www.seek.com.au/job/90547334?type=standard&ref=search-standalone&origin=jobCard#sol=d0e9aae04a91d4b51073853cdc9e108a45694126,"We are looking for an experienced data engineer who combines strong technical depth in Databricks ,cloud technologies, and pyspark.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Lead Data Engineer,The Onset,Sydney NSW,Listed fifteen days ago,https://www.seek.com.au/job/90354026?type=standard&ref=search-standalone&origin=jobCard#sol=04b91fc3714bec00db96106b3168649408fe57f8,"Lead the design and build of AI/ML data platforms, pipelines, and governance, driving accessible, scalable data for algorithm-driven products.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
"Senior Software Engineer, Azure Experience & Ecosystems",Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90323932?type=standard&ref=search-standalone&origin=jobCard#sol=1590dd02096164b8bc5a23db2fc02ba871355a76,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Backend Software Engineer (IoT / Rust),Tenth Revolution Group,Sydney NSW,Listed twenty three days ago,https://www.seek.com.au/job/90200176?type=standard&ref=search-standalone&origin=jobCard#sol=a5e76f66c5b3d357828975c4f4f80b53430212d7,"Help build the backend and cloud platforms at SwarmFarm Robotics, powering autonomous technology that's changing the future of agriculture!",Engineering - Software,(Information & Communication Technology),,This is a Full time job,1
Senior Back-end Developer - Node.js / TypeScript,Peoplebank Australia NSW,Sydney NSW,Listed thirteen days ago,https://www.seek.com.au/job/90383487?type=standard&ref=search-standalone&origin=jobCard#sol=b96093c12e949e0fe97d598134a0ecf026a4ebf2,Backend Node.js engineer to drive safe migration from legacy systems to TypeScript microservices in a modern product environment.,Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,4
Data Engineer,DATAIQ,Norwest,,https://www.seek.com.au/job/90209621?type=promoted&ref=search-standalone&origin=jobCard#sol=6807989f77ef74eb7b43acda0134f97fdc1f527c,Join DataIQ as a Data Engineer as we expand our Data & AI practice to build modern data products on Microsoft Fabric.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,2
Lead Data Scientist,Lendi Group,Sydney NSW,,https://www.seek.com.au/job/90389994?type=promoted&ref=search-standalone&origin=jobCard#sol=b0eb7c973fb40f588831667874c242d051993a8b,"Lead Data Scientist position at Lendi Group in Sydney, focusing on data-driven solutions.",Other,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Data Engineer (12-month Max Term),hummgroup,Sydney NSW,Listed twenty four days ago,https://www.seek.com.au/job/90182169?type=standard&ref=search-standalone&origin=jobCard#sol=674b0ee101480f382a1418093193321912e8eb5d,"12 month opportunity for Data Engineer with strong SQL, AWS/Azure cloud skills & CI/CD expertise to build & optimise scalable data solutions",Engineering - Software,(Information & Communication Technology),(Hybrid),,2
"Data Engineers (2 roles, 12- month FTC)",HCF Australia,Sydney NSW,Listed twenty seven days ago,https://www.seek.com.au/job/90088534?type=standard&ref=search-standalone&origin=jobCard#sol=76cc4e1d0e1b14bf4d21cb0c60d95481ba7cfbc1,"12‑month FTC supporting and automating data platform operations, optimising pipelines and workflows to boost stability and cut manual effort.",Other,(Information & Communication Technology),,This is a Full time job,2
Senior Data Engineer,Cognizant Technology Solutions Australia Pty Ltd,Sydney NSW,Listed twenty five days ago,https://www.seek.com.au/job/90154441?type=standard&ref=search-standalone&origin=jobCard#sol=8682f4a63e405cfced1865d7a0fb521475d544cc,We are looking for Senior Data Engineer with good hands on experience in Data Vault 2.0,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Full Stack Generative AI Developer,1QLabs,Sydney NSW,Listed more than one day ago,https://www.seek.com.au/job/90057893?type=standard&ref=search-standalone&origin=jobCard#sol=0f0f5504fdb50ca2397b6505309e20fc1e85f28e,"Ship AI products, not features. At 1QLabs you’ll launch 3-5 AI-native startups at once, building polished UX and scalable systems.",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,0
LabVIEW Developer,BT Imaging Pty Ltd,Waterloo,Listed twelve days ago,https://www.seek.com.au/job/90423534?type=standard&ref=search-standalone&origin=jobCard#sol=bf728f47e1c3beb347557a47a5248c2f617b73f7,Urgent needed. This role will be responsible for delivering a LabView user interface for a next-generation metrology hardware product.,Engineering - Software,(Information & Communication Technology),,,2
Lead AI Engineer,TalentLink,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90320398?type=standard&ref=search-standalone&origin=jobCard#sol=f1feff48d5b597ac238b2c773d3b9f1786bdc274,"Are you a Lead Engineer who can own the design, delivery and operation of production AI systems",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
Platform Support Engineer - Recently Acquired & Growing Australian FinTech!,The Argyle Network,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90248617?type=standard&ref=search-standalone&origin=jobCard#sol=984e2d39aadc907e5cafb3654fd23eff204b9eef,"Level 2 Platform Support Engineer. Troubleshoot, automate, and improve systems while collaborating across teams, writing code and driving impact.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,1
Head of Software Engineering (Core Engineering),BrainEye,Sydney NSW,Listed twenty two days ago,https://www.seek.com.au/job/90205789?type=standard&ref=search-standalone&origin=jobCard#sol=e0e9cc002ffb45f8741d0aee25e08b2ee0322f4f,"BrainEye is at the forefront of the digital brain-health revolution, be the technical architect pushing the boundaries of what’s possible",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Senior Full-Stack Engineer,HealthMatch,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90237470?type=standard&ref=search-standalone&origin=jobCard#sol=39dd3b5c1d3a06a1cd2c9b2d4d93db1af843a0f0,"Own high-impact work in a small, senior team - shipping features, making pragmatic architectural calls, and shaping how HealthMatch is built.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior Embedded Software Engineer,Farmbot Australia Pty Ltd,Roseville,Listed six days ago,https://www.seek.com.au/job/90545715?type=standard&ref=search-standalone&origin=jobCard#sol=30353207fb06e4aa5ea744ef3d8fa48dfc7ef0f0,We’re seeking an experienced Senior Embedded Software Engineer to take ownership of Farmbot’s embedded platform.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,4
Junior Programmer / Technical Build Technician,Labyrinth Escape Rooms,Parramatta,Listed twenty one hours ago,https://www.seek.com.au/job/90648288?type=standard&ref=search-standalone&origin=jobCard#sol=a9fa7a19d83817c783262f89108898cb160a8348,"Technical Creative Builder for Arduino, Raspberry Pi, C/C++, electronics, 3D printing and networking. Casual flexible role, 2 to 3 days per week.",Electrical/Electronic Engineering,(Engineering),,,2
Lead Big Data Engineer,Paxus,Sydney NSW,Listed one hour ago,https://www.seek.com.au/job/90671378?type=standard&ref=search-standalone&origin=jobCard#sol=137b7c77a7b233e51bedf8780bdb4504396f3046,.,Other,(Information & Communication Technology),,This is a Full time job,1
Lead Platform Engineer - GenAI Developer Tooling,Peoplebank Australia NSW,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90428742?type=standard&ref=search-standalone&origin=jobCard#sol=ff91d29777a88c63abc734d433bebb4019b40137,"Lead enterprise GenAI dev tooling to increase engineering output by 50%. Hands-on AI, automation and platform innovation.",Architects,(Information & Communication Technology),(Hybrid),This is a Full time job,1
AWS Data Engineer,Accenture,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90574436?type=standard&ref=search-standalone&origin=jobCard#sol=d4b0d956bfd3f06a813ed589f063c2c2a1a44c75,"Cloud Data Engineer who builds analytics roadmaps, uncovers insights, and collaborates with stakeholders in fast-paced environments.",Engineering - Software,(Information & Communication Technology),,This is a Full time job,2
Software Engineer II,Microsoft,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90583423?type=standard&ref=search-standalone&origin=jobCard#sol=62ab35d466f7045f5c7caf01ac5f40c9632e0359,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Software Engineer,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90326451?type=standard&ref=search-standalone&origin=jobCard#sol=15445e9a1a5723178cc84055eed982d854016b0c,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Software Engineer - Azure Storage,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90327021?type=standard&ref=search-standalone&origin=jobCard#sol=42302a9863ae6d7f2a11a2e0e6bc8aaa9c6adf9c,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
AWS Data Engineer- (Terraform),"Talent – Specialists in tech, transformation & beyond",Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90263641?type=standard&ref=search-standalone&origin=jobCard#sol=118b85083b600718f6cce98236ad7e50adce4d11,looking for a hands-on AWS Data Engineer with strong Terraform experience to join a high-performing data engineering team based in Sydney.,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,2
Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90551498?type=standard&ref=search-standalone&origin=jobCard#sol=258cd15bac72f6ceb2d2abea9d559bb8332c928b,This role offers strong growth opportunities working alongside senior technical leaders while deepening your expertise across Microsoft’s ecosystem.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,2
Principal Software Engineer,Schneider Electric,Macquarie Park,Listed twenty days ago,https://www.seek.com.au/job/90266818?type=standard&ref=search-standalone&origin=jobCard#sol=d35984e42cdae330e755bb03fc450a2cd0cca82d,"Lead cloud-native IoT platforms as a Principal Software Engineer, driving architecture and innovation for next‑gen home energy systems.",Engineering - Software,(Information & Communication Technology),,This is a Full time job,1
Senior Software Engineer - Azure Data Lake Storage Gen 2,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90323852?type=standard&ref=search-standalone&origin=jobCard#sol=57ff1de72993db43f22ad074f736e76d345a1ea0,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Odoo Developer,,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90290772?type=standard&ref=search-standalone&origin=jobCard#sol=9b2d6ac392145f259a87cb20c5a33f587b76d6aa,Contribute to the success of one of Australia's leading Retailers by joining our Head Office Team.,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,2
Applications Developer,Abbotsleigh School,Wahroonga,Listed ten days ago,https://www.seek.com.au/job/90461465?type=standard&ref=search-standalone&origin=jobCard#sol=375561c57a21d5ff3f008e6db5f608cd80098473,Abbotsleigh presents a unique opportunity for an Applications Developer to shape modern digital solutions.,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,0
Software Developer - .Net / C# / MS SQL Server,Dematic Pty Ltd,Belrose,Listed ten days ago,https://www.seek.com.au/job/90464009?type=standard&ref=search-standalone&origin=jobCard#sol=14d3124413e2aae323adb476ec6b45d422547df4,"Be more than a Coder: Design & deliver C# software powering next-generation warehouse automation across APAC, and lead material handling innovation!",Developers/Programmers,(Information & Communication Technology),,This is a Full time job,4
"Embedded / Firmware Software Engineer - C++, .Net, C#, Linux Exp - PERM",Northbridge Recruitment,Parramatta,Listed one day ago,https://www.seek.com.au/job/90640242?type=standard&ref=search-standalone&origin=jobCard#sol=9fec7dde3c719d19ac93ae5775a3f980f7fd0d04,"Develop, maintain, and debug firmware/embedded software running on Linux (Yocto, kernel drivers). Exp in C++, .Net, C#, Emdbedded OR Firmware Dev Exp",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,4
Senior Data Scientist - AI & NLP,Correlate Resources,Sydney NSW,Listed six days ago,https://www.seek.com.au/job/90547933?type=standard&ref=search-standalone&origin=jobCard#sol=5bf813f3765492b90f9a7aab8abc3b3d3ecc0b9a,"Work on advanced NLP and ML initiatives, improving LLM outputs, implementing MLOps, and leveraging Python and SQL expertise to drive AI solutions","Mathematics, Statistics & Information Sciences",(Science & Technology),(Hybrid),This is a Full time job,4
Software Test Engineer - .Net / C# / MS SQL Server,Dematic Pty Ltd,Belrose,Listed twelve days ago,https://www.seek.com.au/job/90406304?type=standard&ref=search-standalone&origin=jobCard#sol=39efee5a54e6f4cc71b0c6c0174618d1f2d7b4e4,Be more than just a Tester: engineer end-to-end warehouse solutions that integrate cutting-edge material handling systems using your C# .Net skills!,Testing & Quality Assurance,(Information & Communication Technology),,This is a Full time job,4
Senior Data Engineer (EDW / Snowflake) &#8211; APS6 Equivalent,"Talent – Specialists in tech, transformation & beyond",Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90264671?type=standard&ref=search-standalone&origin=jobCard#sol=b5948b7d47904f95747b0a544583985bec5d2521,"Sr Data Engineer (EDW) required for a 12-month contract, delivering enterprise data warehouse solutions using Snowflake/SQL.",Engineering - Software,(Information & Communication Technology),(Hybrid),,2
Platform Engineer - Developer Experience,Talenza,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90343304?type=standard&ref=search-standalone&origin=jobCard#sol=19c13b7a69bda35890aa313276216c30f0fa5056,My client are a leading Australian defence business seeking multiple Platform Engineers focused on improving DevEx to join a permanent basis,Networks & Systems Administration,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Senior Software Engineer,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90326888?type=standard&ref=search-standalone&origin=jobCard#sol=be4f9b9098e8dee497753a38f6838e8077232d2d,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Staff Data Scientist - AI & NLP,Correlate Resources,Sydney NSW,Listed two days ago,https://www.seek.com.au/job/90629676?type=standard&ref=search-standalone&origin=jobCard#sol=c7e40ab241346fd1dfb48750bfeaea5856d568e0,"Lead advanced NLP and ML initiatives, improving LLM outputs, implementing MLOps, and leveraging Python and SQL expertise to drive AI solutions","Mathematics, Statistics & Information Sciences",(Science & Technology),(Hybrid),This is a Full time job,4
TM1 & Microsoft Data Platform Developer,Re.Group,North Sydney,Listed more than one day ago,https://www.seek.com.au/job/90083983?type=standard&ref=search-standalone&origin=jobCard#sol=93f96ee54bb25d9c2d264248c0346b3d46be1cb9,"We are looking for a TM1 & Microsoft Data Platform Developer to strengthen our analytics, planning and reporting capability across the business.",Developers/Programmers,(Information & Communication Technology),,This is a Full time job,2
Senior AI & Automation Developer,Australian Catholic University Limited,North Sydney,Listed five days ago,https://www.seek.com.au/job/90564142?type=standard&ref=search-standalone&origin=jobCard#sol=4ec5b0bc21001c9d4ca6b03ceff204dab485c15f,"Exceptional opportunity to play a critical role in process automation design, development and delivery of breakthrough AI-powered automation solutions",Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,1
"Infrastructure Automation Engineer - Red Hat OpenShift, Python",Robert Walters,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90292486?type=standard&ref=search-standalone&origin=jobCard#sol=8703476289953d0a8c68bf6c7074feba1ecb35a5,Engineer and provision the infrastructure required for computer vision technology to sit on top. High-impact project with lots of funding!,Networks & Systems Administration,(Information & Communication Technology),(Hybrid),,4
Software Engineering II,Microsoft,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90274500?type=standard&ref=search-standalone&origin=jobCard#sol=c86c2f6ae84cf5c103b443193179fe48a0c32ece,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
"Software Engineering Manager, PDEIO Test Results",Google,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90231112?type=standard&ref=search-standalone&origin=jobCard#sol=cadb81805c63b3070647bedee72a003419e5208e,"Lead a team building cutting-edge tech for Android, Chrome OS and Pixel at Google. Innovative and rewarding role.",Engineering - Software,(Information & Communication Technology),,This is a Full time job,4
Senior Software Developer (C++),Windcave Limited,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90289455?type=standard&ref=search-standalone&origin=jobCard#sol=bf67c914bc3e058ace2588e04e9fe024e4cb9ec4,Windcave is on the lookout for a Senior Software Developer who will have the opportunity to work on complex global e-commerce software projects.,Developers/Programmers,(Information & Communication Technology),(Hybrid),This is a Full time job,4
Software Developer - Salesforce Commerce Cloud,Aurec,Sydney NSW,Listed twenty five days ago,https://www.seek.com.au/job/90171816?type=standard&ref=search-standalone&origin=jobCard#sol=004143a776e0c87293d52d3f2a50bc29ca7f1e3d,6-month Sydney contract for a senior engineer with strong Salesforce Commerce Cloud (SFRA) experience and a modern JavaScript background.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,1
"Senior Data Engineer, Asap, 3 months",FutureYou,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90330225?type=standard&ref=search-standalone&origin=jobCard#sol=1882fdf1e4b7784b51724f8a9984758e6fb31522,"Senior Data Engineer delivering secure AWS cloud solutions, building scalable APIs, optimising ETL pipelines, and collaborating across teams.",Database Development & Administration,(Information & Communication Technology),,,2
"Senior Data Scientist, Product, Google Photos",Google,Sydney NSW,Listed thirteen days ago,https://www.seek.com.au/job/90393375?type=standard&ref=search-standalone&origin=jobCard#sol=5404c6af522084094eafbf9011f715c48e746415,Join Google's award-winning Photos team and drive user-centric insights to shape the future of this iconic product.,Developers/Programmers,(Information & Communication Technology),,This is a Full time job,2
Databricks Platform Engineer,Billigence,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90559867?type=standard&ref=search-standalone&origin=jobCard#sol=ef2233d89e86890015cdf1b33f94058d71e96d0e,Initial contract to end of financial year + potential to extend. Fully remote work options within Australia.,Engineering - Software,(Information & Communication Technology),(Remote),,2
Software Engineer II,Microsoft,Sydney NSW,Listed nineteen days ago,https://www.seek.com.au/job/90274396?type=standard&ref=search-standalone&origin=jobCard#sol=d4b64aaf7cd0a664f9e14c01b6022d3eff7c119b,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Embedded Software Engineer,Breville,Alexandria,Listed six days ago,https://www.seek.com.au/job/90518299?type=standard&ref=search-standalone&origin=jobCard#sol=96a2efc06941c46909d5c9c5d96e033b7277cddd,"Senior Embedded Software Engineer building premium connected appliances, partnering cross-functionally to deliver scalable embedded solutions.",Other,"(Manufacturing, Transport & Logistics)",(Hybrid),This is a Full time job,4
GCP Data Engineer,Talent Insights Group Pty Ltd,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90245271?type=standard&ref=search-standalone&origin=jobCard#sol=363e7db507483d1d99972c3e7784e3cf0b7f6c4f,GCP Data Engineer required to join growing Tech Company,Engineering - Software,(Information & Communication Technology),(Hybrid),,2
Senior Data Engineer,SustainRecruit,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90219796?type=standard&ref=search-standalone&origin=jobCard#sol=756b4a489afc6fdbac7b4f9a16c4eab651aa97fb,"Senior Data Engineer required to own Snowflake, Azure ADF, Fabric and Python pipelines, driving delivery and platform growth.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Senior AI Engineer (AI-Facing Systems),The Onset,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90326702?type=standard&ref=search-standalone&origin=jobCard#sol=2e1a8e78895f50eab0567ee4a1f70b416ebdc417,"Join and immediately contribute to a high calibre growing AI team building real, production-grade AI systems.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Senior Algorithms Engineer,TheDriveGroup,Sydney NSW,Listed twenty two days ago,https://www.seek.com.au/job/90201615?type=standard&ref=search-standalone&origin=jobCard#sol=29fa8718db838f2fe69549ff5ca177df8409c9f6,Design intelligent algorithms for real-time sensor fusion and RF analytics,Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,4
