Title,Company,Location,Date Posted,Link
Graduate Firmware Engineer,Finisar,Rosebery,Listed two hours ago,https://www.seek.com.au/job/90670941?type=standard&ref=search-standalone&origin=jobCard#sol=603ecdb68e6d4386c653fc1f60d3734c082f2a0e
Senior Databricks Engineer (Sydney Based),UpperGround by Hudson,Sydney NSW,Listed nineteen hours ago,https://www.seek.com.au/job/90651924?type=standard&ref=search-standalone&origin=jobCard#sol=e0a2f51cd338970e5f69411eb47da6c1770ff10b
Software Engineer - Test,PM-Partners Group,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90588015?type=standard&ref=search-standalone&origin=jobCard#sol=f2b94657fc035171aa5c47849122c8548a06dfe4
Data Infrastructure Engineer,Life Trading Pty Ltd,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90428900?type=standard&ref=search-standalone&origin=jobCard#sol=62c2efd3194f2ddd4fbca000ca98b772d0376490
Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90551605?type=standard&ref=search-standalone&origin=jobCard#sol=34fc69c0ca6c90ba54233aebae976102ffb6821d
Software Engineer,Microsoft,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90612100?type=standard&ref=search-standalone&origin=jobCard#sol=2ccf5bb7d3bdd14c53e968442634eb1b51a4f3c8
KONG API DEVELOPER,City People Solutions,Sydney NSW,Listed two days ago,https://www.seek.com.au/job/90630839?type=standard&ref=search-standalone&origin=jobCard#sol=f2bba80a40280f53ffe4972ede5365f5bc6a45ab
"Software Developer (Web, AI, RPA)",Suncorp,Sydney NSW,Listed eighteen days ago,https://www.seek.com.au/job/90300601?type=standard&ref=search-standalone&origin=jobCard#sol=c6ea7ffed50eb55c1541fe42fc2a7efa197a7c64
Lead Software & Data Engineering Consultant,Sestra People Pty Ltd,Sydney NSW,Listed twenty nine minutes ago,https://www.seek.com.au/job/90672650?type=standard&ref=search-standalone&origin=jobCard#sol=6d8241e3049ec36e45250eef3a1656156e7d0720
Software Engineer 2,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90553049?type=standard&ref=search-standalone&origin=jobCard#sol=01666db1fb4e8ea498d17998036ec63c0fd61f4c
"Data Analyst - Python, R & SQL - Office based North West Sydney",Limelight People,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90556145?type=standard&ref=search-standalone&origin=jobCard#sol=36471312263df05fdcc6047fc0008bb15b018a18
Data Engineer,Hanwha Energy Australia Pty Ltd,North Sydney,,https://www.seek.com.au/job/90424146?type=promoted&ref=search-standalone&origin=jobCard#sol=1acc218f9af401dccd49134461d9b48c68d0789b
Software Engineer 2,Microsoft,Sydney NSW,Listed ten days ago,https://www.seek.com.au/job/90461536?type=standard&ref=search-standalone&origin=jobCard#sol=883cf941f76d9949ba4dcd12e08c8149cf85c958
Software Engineer - Azure Databricks,Microsoft,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90612555?type=standard&ref=search-standalone&origin=jobCard#sol=e70026b7bc59638675018d29b8e095aa0693b135
Data Engineer,Hydrogen Group Pty Ltd,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90608983?type=standard&ref=search-standalone&origin=jobCard#sol=8ec5f36d201a9d5cc7457e1b68e2045ee9172085
Machine Learning Engineer - $120k + Bonus - Sydney (Hybrid),Nuage Technology Group,Sydney NSW,Listed fourteen days ago,https://www.seek.com.au/job/90366756?type=standard&ref=search-standalone&origin=jobCard#sol=569eb15ca747c47044c6fc747eeac323851236a6
Senior Data Engineers | Snowflake | Python,Billigence,Sydney NSW,Listed twenty seven days ago,https://www.seek.com.au/job/90113289?type=standard&ref=search-standalone&origin=jobCard#sol=c752b5f502f96ac67835f8ea32a9274f19efa725
Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90552837?type=standard&ref=search-standalone&origin=jobCard#sol=ac0e47009a034a872d65ff5bd86547537876caa4
Software Developer,Let's Play Games,Wetherill Park,Listed eleven days ago,https://www.seek.com.au/job/90428532?type=standard&ref=search-standalone&origin=jobCard#sol=1ff1f1bc740eddf615bf508ce2e641d4dc8d5c28
Data Engineer,TheDriveGroup,Sydney NSW,Listed four days ago,https://www.seek.com.au/job/90575973?type=standard&ref=search-standalone&origin=jobCard#sol=0981781aeda46c40d87c9d41e69d92b19788ea78
AI Engineer,Teachers Mutual Bank,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90244169?type=standard&ref=search-standalone&origin=jobCard#sol=62889650e9bc84188f925e773fed6095a52aab29
Data Scientist - AI & NLP,Correlate Resources,Sydney NSW,Listed two days ago,https://www.seek.com.au/job/90629702?type=standard&ref=search-standalone&origin=jobCard#sol=092f7dc5b740cadd4a4f5f6731b95f3ddd0f38e0
Data & AI Engineer,Secure Parking Pty Ltd.,North Sydney,Listed three days ago,https://www.seek.com.au/job/90603585?type=standard&ref=search-standalone&origin=jobCard#sol=26c0df16e1ec87bae647f35ab39ca715453f3297
Data Engineer - Databricks,FinXL IT Professional Services,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90560614?type=standard&ref=search-standalone&origin=jobCard#sol=5ae5719f4dd76a7aae7e14c3b720c16186be0ed3
